anio,Tabasco (PBI Turismo),Campeche (PBI Turismo),Veracruz (PBI Turismo)
2003,20734.72885,12791.82474,58265.34516
2004,21407.57126,13106.11582,60023.95003
2005,21225.32855,12965.67334,59455.5004
2006,21185.30421,13031.83574,59424.48395
2007,21391.63097,13353.89335,60122.44814
2008,20918.0955,13443.954,59026.92042
2009,20609.60381,12536.2437,59009.58454
2010,21360.37265,12453.38194,61787.88543
2011,22586.63298,12826.78913,65761.47932
2012,24066.8321,13523.19669,70467.00459
2013,24985.72317,14046.43796,73540.39261
2014,26290.34384,14040.16115,73312.01982
2015,28269.99453,14369.69318,74977.06077
2016,30140.14631,14582.3056,75953.58793
2017,31699.04758,14588.40582,75464.86663
2018,33886.16056,14840.33695,75969.40493
2019,33902.35335,14503.19708,74722.21657
2020,23416.65405,10338.4584,52448.8224
2021,28374.48386,12993.55002,56658.54052
2022,29668.05596,12774.20744,69104.32358